etiket,metin,label,metin_tr,metin_islenmis
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",0,"Jurong noktasına kadar git, çılgın.. Sadece bugis n harika dünya la e büfesinde mevcut... Cine orada daha çok şey var...",jurong noktasına git çılgın sadece bugis n harika dünya la e büfesinde mevcut cine orada şey
ham,Ok lar... Joking wif u oni...,0,Tamam lar... Seninle şakalaşıyorum...,tamam lar seninle şakalaşıyorum
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,1,21 Mayıs 2005 tarihli FA Cup finalini kazanmak için haftada 2 kez ücretsiz giriş. Giriş sorusunu almak için FA'yi 87121'e gönderin (std txt oranı)Şart ve Koşullar geçerlidir 08452810075over18's,SAYI mayıs SAYI tarihli fa cup finalini kazanmak haftada SAYI kez ücretsiz giriş giriş sorusunu almak fa yi SAYI e gönderin std txt oranı şart koşullar geçerlidir SAYI over SAYI s
ham,U dun say so early hor... U c already then say...,0,Bu kadar erken söylemedin yani... Zaten o zaman dedin ki...,erken söylemedin yani zaten zaman dedin
ham,"Nah I don't think he goes to usf, he lives around here though",0,Hayır usf'ye gittiğini sanmıyorum ama buralarda yaşıyor,hayır usf ye gittiğini sanmıyorum buralarda yaşıyor
spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv",1,"FreeMsg Hey sevgilim, 3 hafta oldu ve geri dönüş yok! Biraz eğlenmek istiyorum, hâlâ buna hazır mısın? Tb tamam! Gönderilecek XxX std chgs, rcv'ye 1,50 £",freemsg hey sevgilim SAYI hafta oldu geri dönüş biraz eğlenmek istiyorum hâlâ buna hazır mısın tb tamam gönderilecek xxx std chgs rcv ye SAYI SAYI
ham,Even my brother is not like to speak with me. They treat me like aids patent.,0,Kardeşim bile benimle konuşmayı sevmiyor. Bana AIDS patenti gibi davranıyorlar.,kardeşim benimle konuşmayı sevmiyor bana aids patenti davranıyorlar
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,0,Talebiniz doğrultusunda 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' tüm Arayanlar için arayan melodiniz olarak ayarlandı. Arkadaşlarınızın Callertune'unu kopyalamak için *9'a basın,talebiniz doğrultusunda melle melle oru minnaminunginte nurungu vettam arayanlar arayan melodiniz ayarlandı arkadaşlarınızın callertune unu kopyalamak SAYI a basın
spam,WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,1,KAZANAN!! Değerli bir ağ müşterisi olarak 900 £ tutarındaki ödül ödülünü almak üzere seçildiniz! Talep etmek için 09061701461'i arayın. Talep kodu KL341. Yalnızca 12 saat geçerlidir.,kazanan değerli ağ müşterisi SAYI tutarındaki ödül ödülünü almak üzere seçildiniz talep etmek SAYI i arayın talep kodu kl SAYI yalnızca SAYI saat geçerlidir
spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,1,Cep telefonunuz 11 ay veya daha uzun süre mi kullanıldı? Kameralı en son renkli cep telefonlarına Ücretsiz Güncelleme hakkına sahipsiniz! Mobile Update Co'yu 08002986030 numaralı telefondan ÜCRETSİZ arayın,cep telefonunuz SAYI ay uzun süre kullanıldı kameralı son renkli cep telefonlarına ücretsiz güncelleme hakkına sahipsiniz mobile update co yu SAYI numaralı telefondan ücretsi z arayın
ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",0,"Yakında evde olacağım ve bu gece bu konular hakkında daha fazla konuşmak istemiyorum, tamam mı? Bugün yeterince ağladım.",yakında evde olacağım gece konular hakkında fazla konuşmak istemiyorum tamam bugün yeterince ağladım
